Building Cleaning and Pest Control Workers,"50,440",5.5,58.58,"121,840",2.5,30.41,38.99,59.34,75.07,81.49,"63,260","81,110","123,430","156,140","169,500",,
Building Cleaning Workers,"316,760",1.1,43.87,"91,250",0.8,23.83,30.27,38.75,49.38,62.9,"49,560","62,970","80,600","102,720","130,830",,
Bus and Truck Mechanics and Diesel Engine Specialists,"152,610",2,46.46,"96,650",1.1,22.86,30.21,44.71,58.94,74.64,"47,560","62,840","93,000","122,600","155,240",,
Bus and Truck Mechanics and Diesel Engine Specialists,"1,364,180",0.7,58.17,"120,990",0.4,30.99,43.69,58.05,73.06,81.04,"64,470","90,870","120,730","151,960","168,570",,
"Bus Drivers, School","190,120",1.7,46.97,"97,710",0.7,23.54,34.57,47.22,59.88,73.68,"48,960","71,910","98,220","124,550","153,250",,
"Bus Drivers, Transit and Intercity","84,820",2.7,39.09,"81,320",1.1,18.4,24.57,37.03,48.4,62.39,"38,280","51,100","77,030","100,670","129,760",,
Business and Financial Operations Occupations,"82,380",2.8,45.9,"95,460",2.3,18.53,27.51,38.41,60.63,80.87,"38,550","57,220","79,890","126,110","168,200",,
"Business Operations Specialists, All Other","370,190",1.2,47.2,"98,180",0.7,21.94,29.77,45.8,61.23,78.08,"45,630","61,920","95,270","127,360","162,410",,
Butchers and Meat Cutters,"23,040",4.1,60.24,"125,300",2.4,30.41,38.61,50.91,73.71,99.43,"63,260","80,320","105,900","153,310","206,820",,
Buyers and Purchasing Agents,"1,770",2.8,54.05,"112,430",1.1,29.69,37.91,51.97,64.8,81.49,"61,760","78,850","108,100","134,780","169,500",,
Cabinetmakers and Bench Carpenters,"98,700",3.2,46.07,"95,830",2.1,23.41,29.78,39.59,57.33,77.33,"48,690","61,940","82,360","119,240","160,850",,
Calibration Technologists and Technicians,"31,370",3,47.81,"99,450",1.1,23.72,33.71,45.95,60.48,75.62,"49,350","70,120","95,570","125,800","157,300",,
"Camera Operators, Television, Video, and Film","105,980",2.4,52.24,"108,660",1.1,28.57,37.32,48.52,62.87,80.31,"59,430","77,620","100,910","130,770","167,040",,
Cardiologists,"3,970",6.1,37.48,"77,960",2.3,17.05,22.76,30.03,46.67,69.29,"35,460","47,330","62,460","97,080","144,120",,
"Career/Technical Education Teachers, Secondary School","100,400",1.5,44.19,"91,900",0.9,23.52,30.05,38.55,49.12,62.49,"48,930","62,500","80,180","102,160","129,980",,
Cargo and Freight Agents,"17,430",4,36.05,"74,980",1.3,20.8,24.72,32.67,45.34,55.47,"43,260","51,420","67,950","94,310","115,380",,
Carpenters,"12,610",3,35.34,"73,510",1.1,22.71,27.88,33.12,41.35,49.73,"47,230","58,000","68,900","86,000","103,450",,
Carpenters,"46,390",2.8,33.12,"68,880",1.3,17.96,22.93,29.62,38.27,48.68,"37,360","47,690","61,600","79,600","101,240",,
Cartographers and Photogrammetrists,"56,640",2.6,59.12,"122,970",0.7,37.23,46.22,58.78,73.53,80.95,"77,440","96,130","122,270","152,950","168,370",,
Cashiers,"1,120",6.8,41.99,"87,350",2.3,26.83,29.68,39.73,48.02,61.07,"55,810","61,740","82,640","99,880","127,030",,
"Cement Masons, Concrete Finishers, and Terrazzo Workers","17,190",4.8,48.57,"101,020",4.3,29.17,36.44,46.83,59.33,74.4,"60,680","75,780","97,410","123,400","154,750",,
Chemical Engineers,"24,180",3.3,58.58,"121,840",3.6,30.16,38.53,50.75,66.98,90.11,"62,730","80,140","105,550","139,310","187,430",,
Chemical Equipment Operators and Tenders,"304,310",1.3,45.91,"95,490",0.5,29.11,35.7,42.33,56.38,64.1,"60,550","74,250","88,050","117,270","133,320",,
"Chemical Processing Machine Setters, Operators, and Tenders","73,750",2,65.5,"136,230",0.9,37.07,48.02,61.62,79.29,#,"77,100","99,880","128,170","164,930",#,,
Chemical Technicians,"186,020",1.4,51.87,"107,890",0.5,29.98,37.74,48.28,61.81,78.33,"62,360","78,500","100,420","128,560","162,930",,
"Chemistry Teachers, Postsecondary","107,170",1.4,55.53,"115,490",0.5,35.4,39.18,50.39,64.1,80.24,"73,630","81,500","104,820","133,320","166,890",,
Chemists and Materials Scientists,"42,660",2.6,48.18,"100,220",1.2,28.76,35.99,46.55,60.67,73.65,"59,820","74,850","96,820","126,190","153,200",,
Chief Executives,"22,870",4,47.93,"99,700",0.9,28.12,36.85,47.62,60.95,72.46,"58,490","76,650","99,040","126,780","150,720",,
"Child, Family, and School Social Workers","293,950",0.9,45.77,"95,200",0.4,29.26,36.85,45.82,50.74,62.32,"60,850","76,650","95,300","105,530","129,620",,
Childcare Workers,"7,380",8.9,47.03,"97,820",3.9,27.19,36.83,44.89,57.02,73.02,"56,550","76,600","93,370","118,610","151,880",,
